Nome;Data;potencia_total;P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
PowLatec;07/02/2022, 8:00:00;1617,7391422594142;0;0;1617,7391422594142;0;0;0;0;1;1;1;1;0;0;218,09246861924686;0;0;7,686589958158996
PowLatec;07/02/2022, 9:00:00;1726,6191169977924;0;0;1726,6191169977924;0;0;0;0;1;1;1;1;0;0;219,14766004415011;0;0;8,265938189845475
PowLatec;07/02/2022, 10:00:00;1817,9428652751424;0;0;1817,9428652751424;0;0;0;0;1;1;1;1;0;0;219,11457305502847;0;0;8,617210626185958
PowLatec;07/02/2022, 11:00:00;1900,5561262798637;0;0;1900,5561262798637;0;0;0;0;1;1;1;1;0;0;218,75817406143346;0;0;9,034112627986348
PowLatec;07/02/2022, 12:00:00;1980,2556315789473;0;0;1980,2556315789473;0;0;0;0;1;1;1;1;0;0;219,99894736842106;0;0;9,339456140350876
PowLatec;07/02/2022, 13:00:00;2046,8663318112633;0;0;2046,8663318112633;0;0;0;0;1;1;1;1;0;0;218,4946270928463;0;0;9,699847792998478
PowLatec;07/02/2022, 14:00:00;2160,4954032258065;0;0;2160,4954032258065;0;0;0;0;1;1;1;1;0;0;216,913938172043;0;0;10,386706989247312
PowLatec;07/02/2022, 15:00:00;2141,7046029411763;0;0;2141,7046029411763;0;0;0;0;1;1;1;1;0;0;215,75141176470586;0;0;10,316382352941176
PowLatec;07/02/2022, 16:00:00;2134,729892966361;0;0;2134,729892966361;0;0;0;0;1;1;1;1;0;0;217,886376146789;0;0;10,21191131498471
PowLatec;07/02/2022, 17:00:00;1983,6055130168452;0;0;1983,6055130168452;0;0;0;0;1;1;1;1;0;0;221,6966615620214;0;0;9,412894333843798
PowLatec;07/02/2022, 18:00:00;1903,252913256956;0;0;1903,252913256956;0;0;0;0;1;1;1;1;0;0;221,31592471358428;0;0;9,000098199672667
PowLatec;07/02/2022, 19:00:00;1819,1526254180603;0;0;1819,1526254180603;0;0;0;0;1;1;1;1;0;0;221,08016722408027;0;0;8,645384615384614
PowLatec;07/02/2022, 20:00:00;1772,5736395759716;0;0;1772,5736395759716;0;0;0;0;1;1;1;1;0;0;220,87141342756183;0;0;8,38964664310954
PowLatec;07/02/2022, 21:00:00;1719,2637589928058;0;0;1719,2637589928058;0;0;0;0;1;1;1;1;0;0;219,38392086330933;0;0;8,104748201438849
PowLatec;07/02/2022, 22:00:00;1654,7849221789882;0;0;1654,7849221789882;0;0;0;0;1;1;1;1;0;0;219,7592412451362;0;0;7,943482490272373
PowLatec;07/02/2022, 23:00:00;1632,6919223300972;0;0;1632,6919223300972;0;0;0;0;1;1;1;1;0;0;220,30341747572817;0;0;7,746990291262136
PowLatec;08/02/2022, 0:00:00;1659,014466403162;0;0;1659,014466403162;0;0;0;0;1;1;1;1;0;0;216,72723320158102;0;0;8,003221343873518
PowLatec;08/02/2022, 1:00:00;1556,064291938998;0;0;1556,064291938998;0;0;0;0;1;1;1;1;0;0;216,94196078431372;0;0;7,4433333333333325
PowLatec;08/02/2022, 2:00:00;1605,2064476386038;0;0;1605,2064476386038;0;0;0;0;1;1;1;1;0;0;215,46203285420947;0;0;7,752320328542095
PowLatec;08/02/2022, 3:00:00;1544,2834128878283;0;0;1544,2834128878283;0;0;0;0;1;1;1;1;0;0;216,16272076372314;0;0;7,45126491646778
PowLatec;08/02/2022, 4:00:00;1614,5067940552017;0;0;1614,5067940552017;0;0;0;0;1;1;1;1;0;0;214,88541401273886;0;0;7,770467091295116
PowLatec;08/02/2022, 5:00:00;1524,7712844036698;0;0;1524,7712844036698;0;0;0;0;1;1;1;1;0;0;216,38224770642202;0;0;7,350756880733945
PowLatec;08/02/2022, 6:00:00;1604,5227731092439;0;0;1604,5227731092439;0;0;0;0;1;1;1;1;0;0;215,89136554621848;0;0;7,822079831932773
PowLatec;08/02/2022, 7:00:00;1495,7722966507176;0;0;1495,7722966507176;0;0;0;0;1;1;1;1;0;0;219,44959330143539;0;0;7,123540669856459
PowLatec;08/02/2022, 8:00:00;1644,256862745098;0;0;1644,256862745098;0;0;0;0;1;1;1;1;0;0;217,41113289760347;0;0;7,812069716775599
PowLatec;08/02/2022, 9:00:00;1693,023962264151;0;0;1693,023962264151;0;0;0;0;1;1;1;1;0;0;216,85314465408806;0;0;8,087861635220126
PowLatec;08/02/2022, 10:00:00;1901,4512704174228;0;0;1901,4512704174228;0;0;0;0;1;1;1;1;0;0;216,74860254083484;0;0;9,131433756805809
PowLatec;08/02/2022, 11:00:00;1865,4609881422925;0;0;1865,4609881422925;0;0;0;0;1;1;1;1;0;0;217,847628458498;0;0;8,908280632411067
PowLatec;08/02/2022, 12:00:00;2048,182667682927;0;0;2048,182667682927;0;0;0;0;1;1;1;1;0;0;218,19326219512195;0;0;9,791051829268293
PowLatec;08/02/2022, 13:00:00;2091,586301369863;0;0;2091,586301369863;0;0;0;0;1;1;1;1;0;0;216,56312024353122;0;0;10,039878234398783
PowLatec;08/02/2022, 14:00:00;2189,2047787610622;0;0;2189,2047787610622;0;0;0;0;1;1;1;1;0;0;216,3770353982301;0;0;10,498997050147494
PowLatec;08/02/2022, 15:00:00;2170,5640787401576;0;0;2170,5640787401576;0;0;0;0;1;1;1;1;0;0;219,00916535433072;0;0;10,339748031496063
PowLatec;08/02/2022, 16:00:00;2117,1823586429723;0;0;2117,1823586429723;0;0;0;0;1;1;1;1;0;0;220,22549273021;0;0;10,034135702746365
PowLatec;08/02/2022, 17:00:00;2035,3383387096774;0;0;2035,3383387096774;0;0;0;0;1;1;1;1;0;0;222,87088709677423;0;0;9,527145161290322
PowLatec;08/02/2022, 18:00:00;1947,9726883561646;0;0;1947,9726883561646;0;0;0;0;1;1;1;1;0;0;221,98174657534247;0;0;9,234469178082191
PowLatec;08/02/2022, 19:00:00;1879,4621136767316;0;0;1879,4621136767316;0;0;0;0;1;1;1;1;0;0;222,69119005328596;0;0;8,926962699822381
PowLatec;08/02/2022, 20:00:00;1805,2094029850746;0;0;1805,2094029850746;0;0;0;0;1;1;1;1;0;0;220,8180597014925;0;0;8,624759535655057
PowLatec;08/02/2022, 21:00:00;1760,8042832764506;0;0;1760,8042832764506;0;0;0;0;1;1;1;1;0;0;220,01549488054607;0;0;8,326723549488054
PowLatec;08/02/2022, 22:00:00;1669,1917523809523;0;0;1669,1917523809523;0;0;0;0;1;1;1;1;0;0;220,88691428571428;0;0;7,908742857142857
PowLatec;08/02/2022, 23:00:00;1684,9788636363635;0;0;1684,9788636363635;0;0;0;0;1;1;1;1;0;0;220,77039772727272;0;0;8,036306818181819
PowLatec;09/02/2022, 0:00:00;1617,95045174538;0;0;1617,95045174538;0;0;0;0;1;1;1;1;0;0;218,37139630390143;0;0;7,719835728952772
PowLatec;09/02/2022, 1:00:00;1653,1641392649904;0;0;1653,1641392649904;0;0;0;0;1;1;1;1;0;0;218,97617021276594;0;0;7,89852998065764
PowLatec;09/02/2022, 2:00:00;1596,4615400410678;0;0;1596,4615400410678;0;0;0;0;1;1;1;1;0;0;218,1411704312115;0;0;7,618542094455853
PowLatec;09/02/2022, 3:00:00;1578,7245962732918;0;0;1578,7245962732918;0;0;0;0;1;1;1;1;0;0;218,49113871635612;0;0;7,60072463768116
PowLatec;09/02/2022, 4:00:00;1571,2884394250514;0;0;1571,2884394250514;0;0;0;0;1;1;1;1;0;0;218,5718275154004;0;0;7,5016016427104715
PowLatec;09/02/2022, 5:00:00;1471,8097222222223;0;0;1471,8097222222223;0;0;0;0;1;1;1;1;0;0;219,66155092592592;0;0;7,077222222222222
PowLatec;09/02/2022, 6:00:00;1600,7905566600398;0;0;1600,7905566600398;0;0;0;0;1;1;1;1;0;0;219,18216699801195;0;0;7,591431411530816
PowLatec;09/02/2022, 7:00:00;1573,4066884531592;0;0;1573,4066884531592;0;0;0;0;1;1;1;1;0;0;218,30660130718954;0;0;7,508082788671024
PowLatec;09/02/2022, 8:00:00;1588,30722095672;0;0;1588,30722095672;0;0;0;0;1;1;1;1;0;0;217,88259681093393;0;0;7,636355353075171
PowLatec;09/02/2022, 9:00:00;1776,5498846153848;0;0;1776,5498846153848;0;0;0;0;1;1;1;1;0;0;217,4666730769231;0;0;8,46748076923077
PowLatec;09/02/2022, 10:00:00;1788,835913370998;0;0;1788,835913370998;0;0;0;0;1;1;1;1;0;0;217,50802259887004;0;0;8,536666666666667
PowLatec;09/02/2022, 11:00:00;1942,7018279569895;0;0;1942,7018279569895;0;0;0;0;1;1;1;1;0;0;218,8408422939068;0;0;9,227777777777776
PowLatec;09/02/2022, 12:00:00;2133,4517445482866;0;0;2133,4517445482866;0;0;0;0;1;1;1;1;0;0;218,80976635514017;0;0;10,099205607476636
PowLatec;09/02/2022, 13:00:00;2167,9383695652173;0;0;2167,9383695652173;0;0;0;0;1;1;1;1;0;0;216,98385093167704;0;0;10,398245341614908
PowLatec;09/02/2022, 14:00:00;2244,07414427157;0;0;2244,07414427157;0;0;0;0;1;1;1;1;0;0;216,33974540311175;0;0;10,795586987270156
PowLatec;09/02/2022, 15:00:00;2239,9716480446928;0;0;2239,9716480446928;0;0;0;0;1;1;1;1;0;0;217,23262569832403;0;0;10,712290502793296
PowLatec;09/02/2022, 16:00:00;2167,4435064935064;0;0;2167,4435064935064;0;0;0;0;1;1;1;1;0;0;218,83021103896104;0;0;10,289188311688312
PowLatec;09/02/2022, 17:00:00;2058,5772354948804;0;0;2058,5772354948804;0;0;0;0;1;1;1;1;0;0;221,92139931740616;0;0;9,7609385665529
PowLatec;09/02/2022, 18:00:00;1949,3681546572934;0;0;1949,3681546572934;0;0;0;0;1;1;1;1;0;0;219,3696660808436;0;0;9,18451669595782
PowLatec;09/02/2022, 19:00:00;1954,8921968365553;0;0;1954,8921968365553;0;0;0;0;1;1;1;1;0;0;220,16115992970123;0;0;9,249191564147628
PowLatec;09/02/2022, 20:00:00;1831,920919117647;0;0;1831,920919117647;0;0;0;0;1;1;1;1;0;0;220,34382352941176;0;0;8,760551470588235
PowLatec;09/02/2022, 21:00:00;1824,2574499089253;0;0;1824,2574499089253;0;0;0;0;1;1;1;1;0;0;219,56293260473586;0;0;8,690418943533697
PowLatec;09/02/2022, 22:00:00;1771,4901523809526;0;0;1771,4901523809526;0;0;0;0;1;1;1;1;0;0;220,3355238095238;0;0;8,428571428571429
PowLatec;09/02/2022, 23:00:00;1766,3934490238612;0;0;1766,3934490238612;0;0;0;0;1;1;1;1;0;0;221,16160520607374;0;0;8,35472885032538
PowLatec;10/02/2022, 0:00:00;1775,3395209580838;0;0;1775,3395209580838;0;0;0;0;1;1;1;1;0;0;217,87686626746506;0;0;8,492315369261476
PowLatec;10/02/2022, 1:00:00;1688,155369928401;0;0;1688,155369928401;0;0;0;0;1;1;1;1;0;0;217,78727923627685;0;0;8,085704057279235
