Nome;Data;potencia_total;P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
PowLatec;01/06/2021, 7:00:00;1275,329315960912;0;0;1275,329315960912;0;0;0;0;1;1;1;1;0;0;219,5782084690554;0;0;6,09071661237785
PowLatec;01/06/2021, 8:00:00;1323,5803322259137;0;0;1323,5803322259137;0;0;0;0;1;1;1;1;0;0;221,07601328903655;0;0;6,374916943521594
PowLatec;01/06/2021, 9:00:00;1319,815511551155;0;0;1319,815511551155;0;0;0;0;1;1;1;1;0;0;221,21212871287128;0;0;6,335445544554455
PowLatec;01/06/2021, 10:00:00;1359,1597077922079;0;0;1359,1597077922079;0;0;0;0;1;1;1;1;0;0;220,65936688311686;0;0;6,459529220779221
PowLatec;01/06/2021, 11:00:00;1458,5759557661927;0;0;1458,5759557661927;0;0;0;0;1;1;1;1;0;0;220,91960505529224;0;0;6,962180094786729
PowLatec;01/06/2021, 12:00:00;1519,5262886597939;0;0;1519,5262886597939;0;0;0;0;1;1;1;1;0;0;220,9996907216495;0;0;7,293917525773195
PowLatec;01/06/2021, 13:00:00;1458,567109375;0;0;1458,567109375;0;0;0;0;1;1;1;1;0;0;220,464609375;0;0;7,011453125
PowLatec;01/06/2021, 14:00:00;1504,53965204236;0;0;1504,53965204236;0;0;0;0;1;1;1;1;0;0;220,5470045385779;0;0;7,15124054462935
PowLatec;01/06/2021, 15:00:00;1418,4343880597016;0;0;1418,4343880597016;0;0;0;0;1;1;1;1;0;0;219,97644776119404;0;0;6,813104477611941
PowLatec;01/06/2021, 16:00:00;1396,0095468277946;0;0;1396,0095468277946;0;0;0;0;1;1;1;1;0;0;220,42054380664652;0;0;6,644561933534743
PowLatec;01/06/2021, 17:00:00;1355,1302805280527;0;0;1355,1302805280527;0;0;0;0;1;1;1;1;0;0;221,216699669967;0;0;6,451633663366337
PowLatec;01/06/2021, 18:00:00;1350,349090909091;0;0;1350,349090909091;0;0;0;0;1;1;1;1;0;0;222,13608766233764;0;0;6,374253246753247
PowLatec;01/06/2021, 19:00:00;1366,5193396226416;0;0;1366,5193396226416;0;0;0;0;1;1;1;1;0;0;222,3957075471698;0;0;6,469496855345913
PowLatec;01/06/2021, 20:00:00;1304,3724958402663;0;0;1304,3724958402663;0;0;0;0;1;1;1;1;0;0;221,69594009983362;0;0;6,222678868552412
